Date,Open,High,Low,Close,Adj Close,Volume,Headline,Compound_Headline,Negative_Headline,Neutral_Headline,Positive_Headline,Unnamed: 0,Tweets,Compound_Tweets,Negative_Tweets,Neutral_Tweets,Positive_Tweets
2017-08-07,814.7999877929688,816.0,806.4000244140625,808.2999877929688,793.4683837890625,405526,,,,,,19.0,contrarian view on reliance ind crompton tatacommunication 5 stock investstockmarket,0.0,0.0,1.0,0.0
2017-08-08,810.0,810.5,794.125,801.7000122070312,786.989501953125,414180,,,,,,,,,,,
2017-08-09,800.0,809.9500122070312,792.875,799.4249877929688,784.7562255859375,387112,,,,,,,,,,,
2017-08-10,798.9749755859375,803.4249877929688,788.6500244140625,792.0250244140625,777.4920654296875,678398,,,,,,,,,,,
2017-08-11,777.4500122070312,789.0,767.75,773.2750244140625,759.0860595703125,503922,,,,,,20.0,share tatamotor rs 18770 cr reliance industry rs 16069 cr axisbank rs 11666 crwere active stocksepicresearch,0.5994,0.0,0.741,0.259
2017-08-14,778.25,792.5,778.25,786.5750122070312,772.1420288085938,583344,,,,,,,,,,,
2017-08-16,785.5,789.0,775.2750244140625,783.4749755859375,769.098876953125,479698,reliance jio give part refund on jiophone 3year lockin period detail,0.0,0.0,1.0,0.0,,,,,,
2017-08-17,785.8499755859375,798.4249877929688,780.0499877929688,783.0250244140625,768.6572265625,626774,,,,,,,,,,,
2017-08-18,783.0,789.75,776.8250122070312,787.7000122070312,773.246337890625,285630,,,,,,,,,,,
2017-08-21,788.5250244140625,792.5499877929688,781.5,782.9000244140625,768.534423828125,872562,,,,,,21.0,india stock miner nmdc17infra reliance28casino delta 18diverse sintex36coffee tatac32bfs mpuram38 jet43,0.0,0.0,1.0,0.0
2017-08-22,787.0,789.75,779.0,781.6749877929688,767.3319091796875,318038,,,,,,,,,,,
2017-08-23,783.5,792.5,777.0,790.6500244140625,776.1422729492188,382916,,,,,,,,,,,
2017-08-24,795.8499755859375,796.0999755859375,782.2999877929688,783.7000122070312,769.3197631835938,337108,,,,,,22.0,stock news kajaria ceramic reliance industry business stock news kajaria ceramic reliance,0.0,0.0,1.0,0.0
2017-08-28,789.5,791.125,780.8499755859375,782.9000244140625,768.534423828125,266492,,,,,,,,,,,
2017-08-29,780.0,783.4000244140625,765.0,765.875,751.8218383789062,407094,,,,,,23.0,india stocksfmcg gcpl23infra reliance64pow jpp 29airline jet26glass asahi26industrial beml24 bajajho46,0.0,0.0,1.0,0.0
2017-08-30,772.5,784.2999877929688,771.7999877929688,782.0750122070312,767.724609375,377930,,,,,,,,,,,
2017-08-31,785.1500244140625,798.75,785.1500244140625,796.75,782.1302490234375,628416,,,,,,24.0,defence stock gain on heavy volume reliance defence topstorie defence stock gain on heavy volume reliance defence topstorie stock reliance security recommend buystock reliance rsecuritie,0.9231,0.0,0.496,0.504
2017-09-01,800.9000244140625,807.9749755859375,799.0999755859375,804.6749877929688,789.909912109375,405820,,,,,,25.0,buoyant undertone also expect stock like itc tataglobal reliance apollotyre hdfc,0.5267,0.0,0.672,0.328
2017-09-04,807.5,817.875,798.0999755859375,805.6749877929688,790.8916015625,2054050,,,,,,,,,,,
2017-09-05,809.5,817.4500122070312,809.5,816.5,801.5178833007812,2094094,,,,,,,,,,,
2017-09-06,815.7000122070312,826.2000122070312,812.5,822.2999877929688,807.2114868164062,1898386,,,,,,,,,,,
2017-09-07,824.0,832.7000122070312,816.5,818.9000244140625,803.8739013671875,639020,,,,,,,,,,,
2017-09-08,820.0999755859375,823.5999755859375,812.7999877929688,817.1500244140625,802.156005859375,293009,,,,,,,,,,,
2017-09-11,820.4000244140625,827.0,816.0499877929688,818.0999755859375,803.0885620117188,982073,,,,,,,,,,,
2017-09-12,822.0999755859375,824.5999755859375,817.4500122070312,823.2999877929688,808.193115234375,140436,,,,,,,,,,,
2017-09-13,824.0,859.25,822.5,849.0999755859375,833.519775390625,751535,,,,,,,,,,,
2017-09-14,857.0,861.4000244140625,842.0,844.2000122070312,828.709716796875,466073,,,,,,26.0,stock focus intraday long sunpharma deepakfert recltd reliance drreddy get expert technicalview,0.0,0.0,1.0,0.0
2017-09-15,842.0999755859375,852.1500244140625,835.4000244140625,843.4000244140625,827.92431640625,414656,,,,,,,,,,,
2017-09-18,847.0,851.2999877929688,843.0999755859375,845.4000244140625,829.8876342773438,272693,,,,,,27.0,bloombergquint nifty 10153 67 close past previous higha new time high hoisted 10171 key stock reliance larsen hdfc twin hul metal,0.4019,0.0,0.881,0.119
2017-09-19,849.0,849.0,837.5499877929688,840.0,824.586669921875,199852,,,,,,,,,,,
2017-09-20,856.25,872.0999755859375,845.0,847.0999755859375,831.556396484375,745756,,,,,,28.0,preopen top stock high gain reliance loose bhartiairtel cnbcbajar top stocktelecom stock iuc cut major negative vl hurt mgn reliance mjr beneficiary jio gt brkevn early thn expect,-0.0772,0.269,0.445,0.286
2017-09-21,848.0,851.4000244140625,837.0,841.2999877929688,825.8629150390625,415569,,,,,,,,,,,
2017-09-22,840.7000122070312,840.7000122070312,814.0,817.5,802.4995727539062,447324,,,,,,,,,,,
2017-09-25,817.9000244140625,827.7000122070312,805.2999877929688,820.4500122070312,805.3953857421875,713622,,,,,,,,,,,
2017-09-26,820.5,827.0,812.5,819.2000122070312,804.1683959960938,459787,,,,,,,,,,,
2017-09-27,827.5,827.5,795.5,798.5999755859375,783.9463500976562,590896,,,,,,,,,,,
2017-09-28,800.0,802.5,781.1500244140625,786.75,772.3137817382812,915584,,,,,,,,,,,
2017-09-29,791.0,793.5,780.0,782.1500244140625,767.7982177734375,643300,,,,,,,,,,,
2017-10-03,792.3499755859375,803.7000122070312,786.25,798.3499755859375,783.700927734375,606837,,,,,,,,,,,
2017-10-04,798.3499755859375,824.9500122070312,795.5,819.2000122070312,804.1683959960938,410935,,,,,,,,,,,
2017-10-05,825.0,828.25,818.75,824.2000122070312,809.0765991210938,354967,,,,,,,,,,,
2017-10-06,824.9000244140625,838.9000244140625,822.6500244140625,836.8499755859375,821.4944458007812,279656,,,,,,,,,,,
2017-10-09,836.8499755859375,838.0,828.25,830.75,815.5064086914062,252670,,,,,,,,,,,
2017-10-10,831.0,846.9000244140625,830.75,843.4000244140625,827.92431640625,316112,,,,,,29.0,reliance general insurance file drhp sebi ipo stock share bse nse ipo reliance insurance india,0.296,0.0,0.864,0.136
2017-10-11,845.0,857.9000244140625,836.2999877929688,840.4000244140625,824.9793701171875,426076,,,,,,,,,,,
2017-10-12,841.0,876.2000122070312,841.0,872.5,856.4903564453125,632480,,,,,,30.0,reliancenipponassetmanagement say rs 2000 crore ipo open on october 25stocks finance reliance news business india,0.0,0.0,1.0,0.0
2017-10-13,880.0,891.0,874.25,876.7000122070312,860.61328125,625450,,,,,,31.0,stockslogic reliance industry ltd result upto september17 ttmresult q2fy18 ril reliance reljio jio reliance money ipo market offer offer stockstowatch stock vunwall stock buy reliancenmdcrecrelinfratv18brdcstdivislabcenturystock sell on rise bajaj autosunpharmahindalco,0.0,0.0,1.0,0.0
2017-10-16,879.9000244140625,891.7000122070312,861.75,875.2000122070312,859.140869140625,630948,reliance retail posing big ever threat amazon flipkart,-0.4019,0.306,0.541,0.153,32.0,alert panic buybuybuy niftyfuture till1012010136 level target 1030210384 nse reliance sensex nifty50 stock looooook reliance nifty rilresult ril sensex stockstowatch stock stockstowatch invest bloomberg,0.1531,0.113,0.719,0.168
2017-10-17,878.9000244140625,883.9500122070312,867.2999877929688,874.25,858.2081909179688,332838,,,,,,,,,,,
2017-10-18,875.5499877929688,917.0,875.1500244140625,913.75,896.9834594726562,1010077,,,,,,33.0,today two stock help market rise ie reliance hdfc bank long help caution high level,0.6597,0.0,0.707,0.293
2017-10-19,916.7000122070312,921.75,903.25,910.3499755859376,893.6458129882812,278563,,,,,,,,,,,
2017-10-23,911.1500244140624,943.4500122070312,909.9000244140624,938.0999755859376,920.8866577148438,540383,,,,,,34.0,telecom stock demand surge 8 recent increase reliance jio tariff,0.2023,0.139,0.648,0.213
2017-10-24,947.0999755859376,947.0999755859376,928.2999877929688,934.75,917.5980834960938,320250,,,,,,,,,,,
2017-10-25,940.0,945.75,930.0,939.9500122070312,922.7027587890624,448754,,,,,,35.0,dejargone ipos mutual fund 1stevermutualfundipo reliance mutualfund ipo stock,0.0,0.0,1.0,0.0
2017-10-26,938.3499755859376,958.2000122070312,931.5,947.25,929.8687744140624,694575,,,,,,,,,,,
2017-10-27,950.0999755859376,956.5,926.4000244140624,929.4500122070312,912.3953857421876,4100930,,,,,,36.0,investor flock like fly lightto adag stocksforgette burn soon lateripo reliancenippon reliance,0.3612,0.0,0.815,0.185
2017-10-30,931.0,945.0,931.0,940.1500244140624,922.8990478515624,435289,airtelreliance jio battle heat yet on whole new battleground,-0.6486,0.431,0.569,0.0,37.0,lupin reliance home among top stock rally 20epicresearchwhatsapp lupin reliance home among top stock rally 20epicresearchwhatsapp 7049084664 visit,0.3818,0.0,0.816,0.184
2017-10-31,943.0,945.0,932.0999755859376,940.7999877929688,923.537109375,476464,,,,,,38.0,reliance communication surge 15 on new debt repayment plan stock share bse nse invest reliance,-0.0772,0.141,0.734,0.124
2017-11-01,946.0,957.4000244140624,945.9000244140624,952.2999877929688,934.8260498046876,455586,,,,,,,,,,,
2017-11-02,954.0,956.9000244140624,944.2000122070312,947.0999755859376,929.7214965820312,513714,,,,,,,,,,,
2017-11-03,953.2999877929688,953.2999877929688,940.5,945.5999755859376,928.2489624023438,725344,,,,,,39.0,reliance equity stock investment reliance long term analysis english via youtube stay updated tweet regard new stock stock hdfcbank icicibank mrf reliance,0.0,0.0,1.0,0.0
2017-11-06,944.0,945.0,929.0,934.4500122070312,917.3036499023438,405565,,,,,,40.0,17 via navbharattime ipo stock stockstowatch reliance buy wockhardt target rs780 reliance security money portfolio news finance india stock stocktrade,0.34,0.0,0.888,0.112
2017-11-07,934.4500122070312,935.0,903.1500244140624,906.6500244140624,890.0137329101562,426181,,,,,,,,,,,
2017-11-08,907.0,908.9000244140624,885.0999755859375,888.25,871.951416015625,368861,,,,,,,,,,,
2017-11-09,895.0999755859375,909.0999755859376,892.0,901.5499877929688,885.00732421875,320008,,,,,,41.0,reliance abv 904 go n cross blast fast upsideomnamonarayana gujelection stock keep eye,0.0,0.0,1.0,0.0
2017-11-10,900.0,901.0,880.3499755859375,883.5,867.2885131835938,302328,,,,,,,,,,,
2017-11-13,883.5,891.3499755859375,873.0,875.1500244140625,859.0917358398438,282688,,,,,,42.0,reliance rcom communication share slump 9 on q2 lossmondaymotivation sundaymorne equity mutualfund portfolio trading stock nifty news equity stockstowatch stockmarket nse bse india money profit stocktrade stocktrader,0.7783,0.0,0.747,0.253
2017-11-14,875.0,894.5,873.0,886.2000122070312,869.9389038085938,289538,,,,,,,,,,,
2017-11-15,886.0,889.8499755859375,878.0,882.4000244140625,866.208740234375,1129619,,,,,,43.0,reliance anilambani group stock tumble amid heavy selling rcom fall rs 10 adag group stock rcom 15 reliance nippon fall issue price via adag group stock rcom 15 reliance nippon fall issue pricereliancemobile reliancemobile latestnew currentnew breakingnew,0.0,0.0,1.0,0.0
2017-11-16,882.5,905.0,882.5,902.4500122070312,885.8908081054688,642828,,,,,,44.0,friday trade stock positive bias tatapower itc bajajfinance marutisuzuki reliance short term trader buy heromotor cipla glenmark bharatforgewe love reliancein sharp panic buysoon cross 905sell metal stocksif revive member,0.7579,0.121,0.617,0.262
2017-11-17,917.5999755859376,924.75,907.0999755859376,909.7000122070312,893.0078125,443239,,,,,,45.0,stockmarket open gap today stock watch sbi reliance amp amarraja great friday membersone good week year 2017today mint million long niftyfuture banknifty reliance mcdowell many many stocksbaby not everything on twitterthose know know many thing we,0.7906,0.0,0.829,0.171
2017-11-20,910.0,924.0,905.25,918.8499755859376,901.9898681640624,429005,,,,,,,,,,,
2017-11-21,925.0,939.7000122070312,924.0,932.4000244140624,915.2913208007812,477835,,,,,,46.0,reliance ril recomende on wavemetric mobile application bang on targetsstock commodity forex nse,0.0,0.0,1.0,0.0
2017-11-22,937.0499877929688,938.7000122070312,924.5499877929688,930.25,913.1807250976562,417327,,,,,,47.0,equity equitymarket stock equitybull nifty investment reliance long term analysis hindi via youtube 925told buy reliance future u remember happen tell buy kaveriseed future happen tell sell justdialdo u remember see price many stock many strategy membersthey know many thing,0.4019,0.0,0.932,0.068
2017-11-23,925.6500244140624,948.0,925.6500244140624,945.1500244140624,927.8073120117188,553671,,,,,,48.0,reliance reliance industry limit fallen 2 star rating list peer 4 star stock hpclns,-0.3612,0.185,0.815,0.0
2017-11-24,948.0,959.0,946.6500244140624,949.5,932.0774536132812,508893,,,,,,,,,,,
2017-11-27,948.0,955.75,943.5,950.7000122070312,933.2554931640624,316710,,,,,,49.0,last week enjoy blast tv18 vguard notmany stock blast like rocketdarle reliancemint money 24x7,0.6908,0.0,0.678,0.322
2017-11-28,949.4500122070312,950.9500122070312,938.25,942.9500122070312,925.647705078125,227961,,,,,,50.0,stock radar bharat 22 etf reliance communication idbi bank market marutisuzuki reliance among active stock term value on nsetuesdaymotivation tuesdaytrivia equity mutualfund portfolio trading nifty news equity stockmarket india money profit stocktrade stocktrader market marutisuzuki reliance among active stock term value on nsetuesdaythought equity mutualfund portfolio trading nifty news equity stockstowatch stockmarket india money profit stocktrade stocktrader,0.9607,0.0,0.696,0.304
2017-11-29,942.9500122070312,949.7999877929688,938.0,945.4500122070312,928.101806640625,506994,,,,,,,,,,,
2017-11-30,940.0,952.0,920.0,922.5999755859376,905.6710815429688,299035,,,,,,,,,,,
2017-12-01,925.0,931.0999755859376,908.0,909.8499755859376,893.1549682617188,312694,,,,,,,,,,,
2017-12-04,915.75,917.9000244140624,898.0,901.5,884.958251953125,452210,,,,,,,,,,,
2017-12-05,900.3499755859375,918.9000244140624,895.9000244140625,911.5,894.7747802734375,517058,reliance jio smartish feature phone google assistant,0.0,0.0,1.0,0.0,,,,,,
2017-12-06,905.0,931.0,905.0,928.0,910.9720458984376,1020000,,,,,,,,,,,
2017-12-07,927.0999755859376,933.9500122070312,922.7999877929688,930.6500244140624,913.5733642578124,473398,,,,,,,,,,,
2017-12-08,937.0,937.0,919.6500244140624,920.9500122070312,904.0513305664062,365165,,,,,,,,,,,
2017-12-11,920.7999877929688,925.4500122070312,913.5,915.9000244140624,899.093994140625,428087,,,,,,,,,,,
2017-12-12,913.5,928.9500122070312,907.9000244140624,915.0499877929688,898.2595825195312,535672,,,,,,,,,,,
2017-12-13,919.75,924.2999877929688,912.0,914.0,897.2288818359375,556810,,,,,,52.0,here bad news reliance jio customer else u would expect company like w bad cx care ril nse nifty bse stock stockmarket stockstowatch,0.1027,0.223,0.51,0.268
2017-12-14,920.0,925.0,909.0,920.5499877929688,903.65869140625,1041124,,,,,,53.0,sensex nifty end day high reliance adani group stock zooooom last hour tradeclear indication landslide victory bjp gujaratelection2017,0.4019,0.0,0.863,0.137
2017-12-15,929.2000122070312,933.0,917.5,919.9000244140624,903.0206298828124,414425,,,,,,,,,,,
2017-12-18,917.0,931.25,861.7000122070312,919.4000244140624,902.5298461914062,568232,,,,,,,,,,,
2017-12-19,921.5,926.9000244140624,920.0499877929688,924.0,907.04541015625,529672,,,,,,,,,,,
2017-12-20,925.0,927.0,917.0,918.75,901.8917236328124,575306,,,,,,54.0,closingbell sensex nifty close mildly low adag stock shine reliance comm 34 closingbell sensex nifty close mildly low adag stock shine reliance comm 34,0.296,0.142,0.676,0.182
2017-12-21,920.0,923.2000122070312,911.0999755859376,913.0499877929688,896.2962646484375,312577,,,,,,,,,,,
2017-12-22,916.0,922.0,910.2000122070312,918.5,901.6463012695312,295905,,,,,,55.0,reliance group share buzz early trade on friday equity stock btvi cnbctv18market index stock make money investor since last christmas take look merryxmas stock market reliance hdfcbank homeloansbyhdfc cnbctv18live,0.296,0.0,0.927,0.073
2017-12-26,923.0,936.5999755859376,918.5999755859376,928.0,910.9720458984376,404624,,,,,,56.0,reliance adag stock soar 14 on mega defence alliance buzz tuesdaythought tuesdaymotivation india market trading stock news nse businessnew business nifty startup entrepreneur leadership followback invest finance open bell asian market open mixed cummin reliance jio newstuesdaythought tuesdaymotivation trading stock india nifty startup entrepreneur leadership inspiration wisdom motivation metaltyrecementrefinery stock look hot onlywatch bel beml centurytext contcorp eil look hotin sharp panic buy itbajajtwin look hot onlywhy reliance sleep,0.8934,0.041,0.763,0.197
2017-12-27,930.1500244140624,936.75,918.3499755859376,922.2999877929688,905.3765258789062,390127,,,,,,,,,,,
2017-12-28,923.2000122070312,934.2000122070312,918.6500244140624,924.4000244140624,907.4380493164062,557798,,,,,,57.0,overnight buy niftyfuture janrelianceuplublmcdowell many cash stock,0.0,0.0,1.0,0.0
2017-12-29,925.9000244140624,932.25,918.0999755859376,921.0499877929688,904.1495361328124,913689,,,,,,58.0,stock news reliance comm tata global beverage lupin lampt quess corp,0.0,0.0,1.0,0.0
2018-01-01,922.0,923.0,909.7000122070312,911.5499877929688,894.8237915039062,242669,,,,,,60.0,india stock power reliance158defence rnaval224renewable suzlon39telco mtnl158infra gmr4it hclinfo41 pharma sterling199sugar renuka52realty unitech182 bfs dena28 uco39min nmdc25utility igl19 fertilize chambal41 stock recommendation reliance security,0.34,0.0,0.906,0.094
2018-01-02,915.0,919.2000122070312,907.25,911.4000244140624,894.6766357421875,1763025,,,,,,,,,,,
2018-01-03,924.4500122070312,927.2000122070312,913.2999877929688,916.3499755859376,899.5357666015625,515755,,,,,,,,,,,
2018-01-04,919.0,921.7999877929688,916.0,920.25,903.3641967773438,238922,,,,,,61.0,status update nifty iron butterfly amp put calendar strangle on follow stock reliance relianceinfra tcs yesbankroi nifty ib 039 nifty put calendar 348 stock 023 nifty stocksnew short strangle execute run 1 contract stock strangle take due high iv themstrangle give bit range incase wild move exit 50 profit adjust lossreliance relianceinfra tcs yesbank,0.9136,0.0,0.778,0.222
2018-01-05,920.5,925.8499755859376,919.4500122070312,923.0,906.0637817382812,406686,,,,,,62.0,gud performance select stocksbuy side bankniftyniftyhindalcovedl tatasteel reliance ktkbk sell pnbboi give good return expectedtotal gain 210 lacs1 lot eachcongrat follow picksvivekshukla4444 wealthguru,0.743,0.0,0.769,0.231
2018-01-08,924.0999755859376,930.2000122070312,923.5999755859376,928.4500122070312,911.4136962890624,332558,,,,,,,,,,,
2018-01-09,929.0499877929688,943.9500122070312,924.0,940.9000244140624,923.63525390625,519256,,,,,,,,,,,
2018-01-10,945.0,946.75,935.4000244140624,941.5,924.2242431640624,352402,,,,,,,,,,,
2018-01-11,941.75,942.75,935.0,937.2000122070312,920.003173828125,268912,,,,,,,,,,,
2018-01-12,942.0,951.8499755859376,938.0999755859376,946.75,929.3779296875,596333,,,,,,,,,,,
2018-01-15,950.2000122070312,957.5499877929688,945.2000122070312,947.5999755859376,930.2123413085938,445379,,,,,,,,,,,
2018-01-16,949.0,949.0,920.0,923.5,906.5545043945312,479344,,,,,,,,,,,
2018-01-17,925.0,928.6500244140624,908.0,924.6500244140624,907.6834716796876,360307,,,,,,,,,,,
2018-01-18,930.0,930.0,911.0,919.2999877929688,902.4315795898438,354147,,,,,,,,,,,
2018-01-19,922.0,932.3499755859376,922.0,929.3499755859376,912.2971801757812,600361,,,,,,63.0,reliance bind potential triple top amp tl support shall initiate swing trade reach either 950 905 trade nifty stock stock watch 19012018 bse nse sensex nifty niftyfuture hcltech reliance gst,0.8402,0.0,0.694,0.306
2018-01-22,948.5,974.5,940.0999755859376,971.2000122070312,953.3792724609376,1773742,,,,,,64.0,red alert many stock look weak tiredonly stock pvtbank itstock lt reliance manipulative rally happen today trap on card look good do nt jump buy,-0.0258,0.166,0.671,0.163
2018-01-23,975.0,990.0,975.0,981.7000122070312,963.6866455078124,669605,,,,,,65.0,reliance ind one extension ril reliance stock market nifty india cagrconsultant rajshah199710 entrepreneur987 writetoevv nehatrade jadhavajit81 druzbeh prashanttejura iamitbhandari brahmachary sahneydeepak roshvk rishikeshadx generally not trade stock can not much volume stock since rajshah199710 paste chart keen look chart moreover movement reliance contribute much nifty,0.7845,0.0,0.842,0.158
2018-01-24,981.9000244140624,981.9000244140624,960.5,964.5499877929688,946.851318359375,441731,,,,,,66.0,reliance reliancejio 98 pack 28 day seriously cool keep number alive longtime telecom stock tumble 65 follow new reliance jio offer indian express,0.5423,0.063,0.706,0.23
2018-01-25,970.0,971.4500122070312,957.25,964.5499877929688,946.851318359375,421966,,,,,,,,,,,
2018-01-29,966.0,976.5499877929688,960.0999755859376,963.7999877929688,946.1150512695312,418040,,,,,,67.0,key stock show sign reversal early thoughicicibank 360 hi 365 day 52witc 277 day hi 283reliance 970 hi do last week 990,0.0,0.0,1.0,0.0
2018-01-30,964.0,964.2999877929688,945.5499877929688,949.25,931.8320922851562,694016,,,,,,,,,,,
